#SampleID	Species	Colony	Age	Year	Type	Plate
#q2:types	Categorical	Categorical	Categorical	Categorical	Categorical	Categorical
MOCK-75	MOCK				MOCK	75
PCR-BLANK-75-1	PCRBLANK				PCRBLANK	75
P01	BLKI	MID		2023	SAMPLE	75
P02	BLKI	MID		2023	SAMPLE	75
P03	BLKI	MID		2023	SAMPLE	75
P04	BLKI	MID		2023	SAMPLE	75
P05	BLKI	MID		2023	SAMPLE	75
P06	BLKI	MID		2023	SAMPLE	75
P07	BLKI	MID		2023	SAMPLE	75
BLANK-75-1	BLANK	MID			EXTBLANK	75
P08	BLKI	MID		2023	SAMPLE	75
P09	BLKI	MID		2023	SAMPLE	75
P10	BLKI	MID		2023	SAMPLE	75
P11	BLKI	MID		2023	SAMPLE	75
P12	BLKI	MID		2023	SAMPLE	75
P13	BLKI	MID		2023	SAMPLE	75
P14	BLKI	MID		2023	SAMPLE	75
P15	BLKI	MID		2023	SAMPLE	75
P16	BLKI	MID		2023	SAMPLE	75
P17	BLKI	MID		2023	SAMPLE	75
P18	BLKI	MID		2023	SAMPLE	75
P19	BLKI	MID		2023	SAMPLE	75
P20	BLKI	MID		2023	SAMPLE	75
P21	BLKI	MID		2023	SAMPLE	75
P22	BLKI	MID		2023	SAMPLE	75
P23	BLKI	MID		2023	SAMPLE	75
P24	BLKI	MID		2023	SAMPLE	75
BLANK-75-2	BLANK	MID			EXTBLANK	75
P26	BLKI	MID		2023	SAMPLE	75
P27	BLKI	MID		2023	SAMPLE	75
P28	BLKI	MID		2023	SAMPLE	75
P30	BLKI	MID		2023	SAMPLE	75
P46	BLKI	MID		2023	SAMPLE	75
P35	BLKI	MID		2023	SAMPLE	75
P36	BLKI	MID		2023	SAMPLE	75
P37	BLKI	MID		2023	SAMPLE	75
P38	BLKI	MID		2023	SAMPLE	75
P39	BLKI	MID		2023	SAMPLE	75
P40	BLKI	MID		2023	SAMPLE	75
P41	BLKI	MID		2023	SAMPLE	75
P43	BLKI	MID		2023	SAMPLE	75
P44	BLKI	MID		2023	SAMPLE	75
P45	BLKI	MID		2023	SAMPLE	75
P47	BLKI	MID		2023	SAMPLE	75
P48	BLKI	MID		2023	SAMPLE	75
P49	BLKI	MID		2023	SAMPLE	75
BLANK-75-3	BLANK	MID			EXTBLANK	75
P51	BLKI	MID		2023	SAMPLE	75
